date,age,deaths
7/9/2022,25-34 years,635
7/9/2022,30-39 years,760
7/9/2022,35-44 years,862
7/9/2022,40-49 years,994
7/9/2022,45-54 years,1378
7/9/2022,50-64 years,4068
7/9/2022,55-64 years,3221
7/9/2022,65-74 years,3940
7/9/2022,75-84 years,3250
7/9/2022,85 years and over,3281
7/9/2022,All Ages,9527
7/9/2022,Under 1 year,146
7/9/2022,0-17 years,258
7/9/2022,1-4 years,35
7/9/2022,5-14 years,40
7/9/2022,15-24 years,232
7/9/2022,18-29 years,396
7/9/2022,25-34 years,471
7/9/2022,30-39 years,544
7/9/2022,35-44 years,579
7/9/2022,40-49 years,639
7/9/2022,45-54 years,861
7/9/2022,50-64 years,2471
7/9/2022,55-64 years,1944
7/9/2022,65-74 years,2298
7/9/2022,75-84 years,1703
7/9/2022,85 years and over,1218
7/9/2022,All Ages,7748
7/9/2022,Under 1 year,120
7/9/2022,0-17 years,206
7/9/2022,1-4 years,30
7/9/2022,5-14 years,47
7/9/2022,15-24 years,58
7/9/2022,18-29 years,122
7/9/2022,25-34 years,164
7/9/2022,30-39 years,216
7/9/2022,35-44 years,283
7/9/2022,40-49 years,355
7/9/2022,45-54 years,517
7/9/2022,50-64 years,1597
7/9/2022,55-64 years,1277
7/9/2022,65-74 years,1642
7/9/2022,75-84 years,1547
7/9/2022,85 years and over,2063
7/9/2022,All Ages,626852
7/9/2022,Under 1 year,2989
7/9/2022,0-17 years,5284
7/9/2022,1-4 years,650
7/9/2022,5-14 years,881
7/9/2022,15-24 years,5497
7/9/2022,18-29 years,10301
7/9/2022,25-34 years,12991
7/9/2022,30-39 years,16402
7/9/2022,35-44 years,19612
7/9/2022,40-49 years,24159
7/9/2022,45-54 years,33860
7/9/2022,50-64 years,99664
7/9/2022,55-64 years,79330
7/9/2022,65-74 years,124375
7/9/2022,75-84 years,159907
7/9/2022,85 years and over,186760
7/9/2022,All Ages,337063
7/9/2022,Under 1 year,1660
7/9/2022,0-17 years,3061
7/9/2022,1-4 years,365
7/9/2022,5-14 years,512
7/9/2022,15-24 years,3953
7/9/2022,18-29 years,7393
7/9/2022,25-34 years,9012
7/9/2022,30-39 years,10901
7/9/2022,35-44 years,12595
7/9/2022,40-49 years,15161
7/9/2022,45-54 years,21224
7/9/2022,50-64 years,61680
7/9/2022,55-64 years,48875
7/9/2022,65-74 years,73345
7/9/2022,75-84 years,87045
7/9/2022,85 years and over,78477
7/9/2022,All Ages,289789
7/9/2022,Under 1 year,1329
7/9/2022,0-17 years,2223
7/9/2022,1-4 years,285
7/9/2022,5-14 years,369
7/9/2022,15-24 years,1544
7/9/2022,18-29 years,2908
7/9/2022,25-34 years,3979
7/9/2022,30-39 years,5501
7/9/2022,35-44 years,7017
7/9/2022,40-49 years,8998
7/9/2022,45-54 years,12636
7/9/2022,50-64 years,37984
7/9/2022,55-64 years,30455
7/9/2022,65-74 years,51030
7/9/2022,75-84 years,72862
7/9/2022,85 years and over,108283
7/9/2022,All Ages,261915
7/9/2022,Under 1 year,1698
7/9/2022,0-17 years,3073
7/9/2022,1-4 years,355
7/9/2022,5-14 years,545
7/9/2022,15-24 years,3081
7/9/2022,18-29 years,5309
7/9/2022,25-34 years,6223
7/9/2022,30-39 years,7761
7/9/2022,35-44 years,9671
7/9/2022,40-49 years,12775
7/9/2022,45-54 years,18245
7/9/2022,50-64 years,50859
7/9/2022,55-64 years,39959
7/9/2022,65-74 years,58417
7/9/2022,75-84 years,64138
7/9/2022,85 years and over,59583
7/9/2022,All Ages,135996
7/9/2022,Under 1 year,930
7/9/2022,0-17 years,1784
7/9/2022,1-4 years,191
7/9/2022,5-14 years,331
7/9/2022,15-24 years,2271
7/9/2022,18-29 years,3823
7/9/2022,25-34 years,4204
7/9/2022,30-39 years,4975
7/9/2022,35-44 years,5940
7/9/2022,40-49 years,7733
7/9/2022,45-54 years,10943
7/9/2022,50-64 years,30397
7/9/2022,55-64 years,23902
7/9/2022,65-74 years,32810
7/9/2022,75-84 years,32382
7/9/2022,85 years and over,22092
7/9/2022,All Ages,125919
7/9/2022,Under 1 year,768
7/9/2022,0-17 years,1289
7/9/2022,1-4 years,164
7/9/2022,5-14 years,214
7/9/2022,15-24 years,810
7/9/2022,18-29 years,1486
7/9/2022,25-34 years,2019
7/9/2022,30-39 years,2786
7/9/2022,35-44 years,3731
7/9/2022,40-49 years,5042
7/9/2022,45-54 years,7302
7/9/2022,50-64 years,20462
7/9/2022,55-64 years,16057
7/9/2022,65-74 years,25607
7/9/2022,75-84 years,31756
7/9/2022,85 years and over,37491
7/9/2022,All Ages,31324
7/9/2022,Under 1 year,180
7/9/2022,0-17 years,282
7/9/2022,1-4 years,29
7/9/2022,5-14 years,47
7/9/2022,15-24 years,223
7/9/2022,18-29 years,398
7/9/2022,25-34 years,491
7/9/2022,30-39 years,673
7/9/2022,35-44 years,880
7/9/2022,40-49 years,1149
7/9/2022,45-54 years,1700
7/9/2022,50-64 years,4801
7/9/2022,55-64 years,3753
7/9/2022,65-74 years,6146
7/9/2022,75-84 years,6823
7/9/2022,85 years and over,11052
7/9/2022,All Ages,16919
7/9/2022,Under 1 year,102
7/9/2022,0-17 years,172
7/9/2022,1-4 years,19
7/9/2022,5-14 years,31
7/9/2022,15-24 years,165
7/9/2022,18-29 years,288
7/9/2022,25-34 years,360
7/9/2022,30-39 years,480
7/9/2022,35-44 years,599
7/9/2022,40-49 years,771
7/9/2022,45-54 years,1120
7/9/2022,50-64 years,3082
7/9/2022,55-64 years,2397
7/9/2022,65-74 years,3868
7/9/2022,75-84 years,3884
7/9/2022,85 years and over,4374
7/9/2022,All Ages,14405
7/9/2022,Under 1 year,78
7/9/2022,0-17 years,110
7/9/2022,1-4 years,10
7/9/2022,5-14 years,16
7/9/2022,15-24 years,58
7/9/2022,18-29 years,110
7/9/2022,25-34 years,131
7/9/2022,30-39 years,193
7/9/2022,35-44 years,281
7/9/2022,40-49 years,378
7/9/2022,45-54 years,580
7/9/2022,50-64 years,1719
7/9/2022,55-64 years,1356
7/9/2022,65-74 years,2278
7/9/2022,75-84 years,2939
7/9/2022,85 years and over,6678
7/9/2022,All Ages,42247
7/9/2022,Under 1 year,211
7/9/2022,0-17 years,441
7/9/2022,1-4 years,50
7/9/2022,5-14 years,79
7/9/2022,15-24 years,479
7/9/2022,18-29 years,721
7/9/2022,25-34 years,788
7/9/2022,30-39 years,1010
7/9/2022,35-44 years,1224
7/9/2022,40-49 years,1499
7/9/2022,45-54 years,2099
7/9/2022,50-64 years,6331
7/9/2022,55-64 years,5072
7/9/2022,65-74 years,8729
7/9/2022,75-84 years,11195
7/9/2022,85 years and over,12321
7/9/2022,All Ages,22610
7/9/2022,Under 1 year,112
7/9/2022,0-17 years,262
7/9/2022,1-4 years,34
7/9/2022,5-14 years,49
7/9/2022,15-24 years,358
7/9/2022,18-29 years,535
7/9/2022,25-34 years,548
7/9/2022,30-39 years,672
7/9/2022,35-44 years,776
7/9/2022,40-49 years,941
7/9/2022,45-54 years,1331
7/9/2022,50-64 years,3835
7/9/2022,55-64 years,3037
7/9/2022,65-74 years,5066
7/9/2022,75-84 years,6154
7/9/2022,85 years and over,5145
7/9/2022,All Ages,19637
7/9/2022,Under 1 year,99
7/9/2022,0-17 years,179
7/9/2022,1-4 years,16
7/9/2022,5-14 years,30
7/9/2022,15-24 years,121
7/9/2022,18-29 years,186
7/9/2022,25-34 years,240
7/9/2022,30-39 years,338
7/9/2022,35-44 years,448
7/9/2022,40-49 years,558
7/9/2022,45-54 years,768
7/9/2022,50-64 years,2496
7/9/2022,55-64 years,2035
7/9/2022,65-74 years,3663
7/9/2022,75-84 years,5041
7/9/2022,85 years and over,7176
7/9/2022,All Ages,310482
7/9/2022,Under 1 year,1588
7/9/2022,0-17 years,2878
7/9/2022,1-4 years,290
7/9/2022,5-14 years,486
7/9/2022,15-24 years,3339
7/9/2022,18-29 years,5836
7/9/2022,25-34 years,6499
7/9/2022,30-39 years,7740
7/9/2022,35-44 years,9321
7/9/2022,40-49 years,11992
7/9/2022,45-54 years,17307
7/9/2022,50-64 years,50805
7/9/2022,55-64 years,40421
7/9/2022,65-74 years,62038
7/9/2022,75-84 years,74267
7/9/2022,85 years and over,94926
7/9/2022,All Ages,161027
7/9/2022,Under 1 year,892
7/9/2022,0-17 years,1692
7/9/2022,1-4 years,148
7/9/2022,5-14 years,273
7/9/2022,15-24 years,2474
7/9/2022,18-29 years,4354
7/9/2022,25-34 years,4740
7/9/2022,30-39 years,5368
7/9/2022,35-44 years,6222
7/9/2022,40-49 years,7805
7/9/2022,45-54 years,11086
7/9/2022,50-64 years,31601
7/9/2022,55-64 years,24985
7/9/2022,65-74 years,35738
7/9/2022,75-84 years,38067
7/9/2022,85 years and over,36402
7/9/2022,All Ages,149455
7/9/2022,Under 1 year,696
7/9/2022,0-17 years,1186
7/9/2022,1-4 years,142
7/9/2022,5-14 years,213
7/9/2022,15-24 years,865
7/9/2022,18-29 years,1482
7/9/2022,25-34 years,1759
7/9/2022,30-39 years,2372
7/9/2022,35-44 years,3099
7/9/2022,40-49 years,4187
7/9/2022,45-54 years,6221
7/9/2022,50-64 years,19204
7/9/2022,55-64 years,15436
7/9/2022,65-74 years,26300
7/9/2022,75-84 years,36200
7/9/2022,85 years and over,58524
7/9/2022,All Ages,193993
7/9/2022,Under 1 year,1204
7/9/2022,0-17 years,2086
7/9/2022,1-4 years,223
7/9/2022,5-14 years,343
7/9/2022,15-24 years,2241
7/9/2022,18-29 years,3894
7/9/2022,25-34 years,4482
7/9/2022,30-39 years,5280
7/9/2022,35-44 years,6201
7/9/2022,40-49 years,7996
7/9/2022,45-54 years,11251
7/9/2022,50-64 years,33003
7/9/2022,55-64 years,26314
7/9/2022,65-74 years,41024
7/9/2022,75-84 years,47877
7/9/2022,85 years and over,52833
7/9/2022,All Ages,100759
7/9/2022,Under 1 year,653
7/9/2022,0-17 years,1216
7/9/2022,1-4 years,121
7/9/2022,5-14 years,208
7/9/2022,15-24 years,1627
7/9/2022,18-29 years,2796
7/9/2022,25-34 years,3097
7/9/2022,30-39 years,3510
7/9/2022,35-44 years,3984
7/9/2022,40-49 years,5038
7/9/2022,45-54 years,6965
7/9/2022,50-64 years,20024
7/9/2022,55-64 years,15929
7/9/2022,65-74 years,23397
7/9/2022,75-84 years,24557
7/9/2022,85 years and over,20221
7/9/2022,All Ages,93234
7/9/2022,Under 1 year,551
7/9/2022,0-17 years,870
7/9/2022,1-4 years,102
7/9/2022,5-14 years,135
7/9/2022,15-24 years,614
7/9/2022,18-29 years,1098
7/9/2022,25-34 years,1385
7/9/2022,30-39 years,1770
7/9/2022,35-44 years,2217
7/9/2022,40-49 years,2958
7/9/2022,45-54 years,4286
7/9/2022,50-64 years,12979
7/9/2022,55-64 years,10385
7/9/2022,65-74 years,17627
7/9/2022,75-84 years,23320
7/9/2022,85 years and over,32612
7/9/2022,All Ages,85864
7/9/2022,Under 1 year,326
7/9/2022,0-17 years,653
7/9/2022,1-4 years,76
7/9/2022,5-14 years,134
7/9/2022,15-24 years,632
7/9/2022,18-29 years,1035
7/9/2022,25-34 years,1193
7/9/2022,30-39 years,1526
7/9/2022,35-44 years,1953
7/9/2022,40-49 years,2586
7/9/2022,45-54 years,3862
7/9/2022,50-64 years,12390
7/9/2022,55-64 years,10014
7/9/2022,65-74 years,16660
7/9/2022,75-84 years,21195
7/9/2022,85 years and over,29819
7/9/2022,All Ages,44066
7/9/2022,Under 1 year,184
7/9/2022,0-17 years,396
7/9/2022,1-4 years,52
7/9/2022,5-14 years,83
7/9/2022,15-24 years,475
7/9/2022,18-29 years,764
7/9/2022,25-34 years,824
7/9/2022,30-39 years,1017
7/9/2022,35-44 years,1278
7/9/2022,40-49 years,1648
7/9/2022,45-54 years,2446
7/9/2022,50-64 years,7703
7/9/2022,55-64 years,6186
7/9/2022,65-74 years,9742
7/9/2022,75-84 years,11170
7/9/2022,85 years and over,11626
7/9/2022,All Ages,41798
7/9/2022,Under 1 year,142
7/9/2022,0-17 years,257
7/9/2022,1-4 years,24
7/9/2022,5-14 years,51
7/9/2022,15-24 years,157
7/9/2022,18-29 years,271
7/9/2022,25-34 years,369
7/9/2022,30-39 years,509
7/9/2022,35-44 years,675
7/9/2022,40-49 years,938
7/9/2022,45-54 years,1416
7/9/2022,50-64 years,4687
7/9/2022,55-64 years,3828
7/9/2022,65-74 years,6918
7/9/2022,75-84 years,10025
7/9/2022,85 years and over,18193
7/9/2022,All Ages,76111
7/9/2022,Under 1 year,400
7/9/2022,0-17 years,760
7/9/2022,1-4 years,69
7/9/2022,5-14 years,132
7/9/2022,15-24 years,878
7/9/2022,18-29 years,1362
7/9/2022,25-34 years,1459
7/9/2022,30-39 years,1808
7/9/2022,35-44 years,2313
7/9/2022,40-49 years,2893
7/9/2022,45-54 years,3863
7/9/2022,50-64 years,11878
7/9/2022,55-64 years,9587
7/9/2022,65-74 years,15258
7/9/2022,75-84 years,18327
7/9/2022,85 years and over,23825
7/9/2022,All Ages,39667
7/9/2022,Under 1 year,227
